occupants,plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,cooking_range,hot_water_fixtures
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.64,0.0449,0.281,0.183,0.638,0.533,0,0,0,0.069
1,0.647,0.0527,0.281,0.192,0.334,0,0,0,0,0.138
0.667,0.732,0.105,0.14,0.343,0,0,0,0,0,0
0.333,0.647,0.0664,0.281,0.192,0,0,0,0,0,0.069
0,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
0.333,0.647,0.0759,0.281,0.181,0,0,0,0,0,0
0.333,0.647,0.0845,0.281,0.18,0,0,0,0,0,0.345
0.333,0.647,0.0888,0.281,0.182,0,0,0,0,0,0.0345
0.333,0.66,0.0982,0.281,0.196,0,0,0,0,0,0.0345
0.667,0.797,0.224,0.14,0.418,0,0,0,0,0,0.103
0.667,0.836,0.273,0.14,0.548,0,0,0,0,0.25,0
0.333,0.705,0.191,0.281,0.359,0,0,0,0,0.517,0.0345
0.333,0.699,0.263,0.281,0.363,0,0,0,0,0,0.069
0.667,0.81,0.629,0.14,0.565,0,0,0,0,0,0.103
0.333,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0.0916
1,0.706,0.363,0.14,0.374,0,0,0,0,0,0.00883
1,0.614,0.0879,0.281,0.116,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0.103
1,0.64,0.0449,0.281,0.183,0,0,0,0,0,0.124
1,0.732,0.0895,0.14,0.334,0,0,0,0,0,0.107
1,0.732,0.105,0.14,0.343,0,0,0,0,0,0.259
0.667,0.647,0.0664,0.281,0.192,0,0,0,0,0,0
0.667,0.647,0.0724,0.281,0.186,0,0,0,0,0,0.103
0.333,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0.138
0.667,0.647,0.0845,0.281,0.18,0,0,0,0,0,0.0345
0.667,0.647,0.0888,0.281,0.182,0,0,0,0,0,0.103
0.667,0.66,0.0982,0.281,0.196,0,0,0,0,0.517,0.172
0.333,0.679,0.12,0.281,0.234,0,0,0,0,0,0.103
0.667,0.836,0.273,0.14,0.548,0,0,0,0,0,0.0345
0.667,0.849,0.366,0.14,0.669,0,0,0,0,0,0.228
0.667,0.836,0.51,0.14,0.677,0,0,0,0,0,0
1,0.934,0.936,0,0.823,0.493,0.633,0,0,0,0.116
1,0.758,0.596,0.14,0.43,0.478,0.167,0,0,0,0
1,0.634,0.189,0.281,0.212,0,0,0,0,0,0.0345
1,0.614,0.0879,0.281,0.116,0,0,0,0,0,0
1,0.608,0.0424,0.281,0.0743,0,0,0,0,0,0
1,0.608,0.026,0.281,0.0578,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0.0345
1,0.64,0.0449,0.281,0.183,0,0,0,0,0,0.069
1,0.818,0.126,0,0.477,0,0,0,0,0,0.138
0.667,0.732,0.105,0.14,0.343,0,0,0,0,0,0
0.667,0.732,0.117,0.14,0.334,0,0,0,0,0.25,0
0.667,0.732,0.129,0.14,0.322,0,0,0,0,0,0.069
0.667,0.732,0.136,0.14,0.313,0,0,0,0,0,0.172
0.667,0.732,0.153,0.14,0.311,0,0,0,0,0,0.103
0.667,0.732,0.162,0.14,0.315,0,0,0,0,0,0.276
0.667,0.758,0.181,0.14,0.343,0,0,0,0,0,0.069
0.667,0.797,0.224,0.14,0.418,0,0,0,0,0,0.298
0.667,0.836,0.273,0.14,0.548,0,0,0,0,0,0.146
0.667,0.849,0.366,0.14,0.669,0,0,0,0,0,0.323
0.667,0.836,0.51,0.14,0.677,0,0,0,0,0,0.181
0.667,0.81,0.629,0.14,0.565,0,0,0,0,0,0.079
1,0.857,0.887,0,0.621,0,0,0,0,0,0.0931
1,0.706,0.363,0.14,0.374,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0181,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0181,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0181,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0181,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0181,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0181,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0181,0.421,0.0495,0,0,0,0,0,0.0345
1,0.64,0.049,0.281,0.183,0,0,0.425,0.483,0.25,0
1,0.732,0.128,0.14,0.334,0,0,0.446,0,0,0.207
0.667,0.732,0.168,0.14,0.343,0,0,0,0,0,0.103
0.667,0.732,0.198,0.14,0.334,0,0,0,0,0,0
0.333,0.647,0.118,0.281,0.186,0,0,0,0,0,0.0345
0.333,0.647,0.125,0.281,0.181,0,0,0,0,0,0
0.333,0.647,0.146,0.281,0.18,0,0,0,0,0.55,0.138
0.333,0.647,0.165,0.281,0.182,0,0,0,0,0.217,0.138
0.333,0.66,0.18,0.281,0.196,0,0,0,0,0,0.069
0.667,0.797,0.36,0.14,0.418,0,0,0,0,0,0.31
1,0.973,0.549,0,0.798,0,0,0,0,0,0.207
1,0.993,0.647,0,0.979,0,0,0,0,0,0
0.667,0.836,0.573,0.14,0.677,0,0,0,0,0,0
1,0.934,1,0,0.823,0,0,0,0,0,0.0519
1,0.758,0.621,0.14,0.43,0,0,0,0,0,0.431
1,0.634,0.206,0.281,0.212,0,0,0,0,0,0.143
1,0.614,0.101,0.281,0.116,0,0,0,0,0,0.136
1,0.608,0.0499,0.281,0.0743,0,0,0,0,0,0
1,0.608,0.031,0.281,0.0578,0,0,0,0,0,0.069
1,0.608,0.0224,0.281,0.0495,0,0,0,0,0,0.138
1,0.608,0.019,0.281,0.0495,0,0,0,0,0,0
1,0.562,0.0181,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0181,0.421,0.0495,0,0,0,0,0,0
1,0.621,0.0327,0.281,0.151,0,0,0,0,0.25,0.069
0.667,0.64,0.049,0.281,0.183,0,0,0,0,0,0
1,0.732,0.128,0.14,0.334,0,0,0,0,0,0.108
1,0.818,0.242,0,0.49,0,0,0,0,0,0.218
0.667,0.732,0.198,0.14,0.334,0.409,0.533,0,0,0,0.127
0.667,0.732,0.217,0.14,0.322,0.14,0,0,0,0,0.198
0.667,0.732,0.233,0.14,0.313,0,0,0,0,0,0.187
0.333,0.647,0.146,0.281,0.18,0,0,0,0,0,0.0734
0.333,0.647,0.165,0.281,0.182,0,0,0,0,0,0.366
0.333,0.66,0.18,0.281,0.196,0,0,0,0,0,0.379
0.333,0.679,0.189,0.281,0.234,0.105,0.05,0.0406,0.3,0,0.207
0.667,0.836,0.372,0.14,0.548,0.537,0.483,0.253,0.183,0.05,0.207
1,0.993,0.647,0,0.979,0.748,0,0,0,0.2,0
1,0.973,0.851,0,0.991,0.141,0,0,0,0,0.069
1,0.81,0.673,0.14,0.565,0,0,0,0,0,0.0709
1,0.758,0.621,0.14,0.43,0,0,0,0,0,0.118
1,0.706,0.394,0.14,0.374,0,0,0,0,0,0.0797
1,0.614,0.101,0.281,0.116,0,0,0,0,0,0
1,0.608,0.0424,0.281,0.0743,0,0,0,0,0,0
1,0.608,0.026,0.281,0.0578,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
0.667,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
0.667,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
0.667,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0.146
1,0.818,0.126,0,0.477,0,0,0,0,0.767,0.143
1,0.818,0.149,0,0.49,0,0,0,0,0,0.529
0.333,0.647,0.0664,0.281,0.192,0,0,0,0,0,0.31
0.333,0.647,0.0724,0.281,0.186,0,0,0,0,0,0.0345
0.333,0.647,0.0759,0.281,0.181,0,0,0,0,0,0
0.667,0.732,0.153,0.14,0.311,0,0,0,0,0.25,0
0.667,0.732,0.162,0.14,0.315,0,0,0,0,0,0.276
0.667,0.758,0.181,0.14,0.343,0,0,0,0,0,0.345
0.667,0.797,0.224,0.14,0.418,0,0,0,0,0,0.0345
0.667,0.836,0.273,0.14,0.548,0.455,0.533,0.101,0.133,0,0.0345
0.667,0.849,0.366,0.14,0.669,0.269,0,0.39,0.35,0,0.162
1,0.973,0.758,0,0.991,0,0,0.544,0,0,0
1,0.934,0.936,0,0.823,0,0,0.315,0,0,0
1,0.857,0.887,0,0.621,0,0,0,0,0,0
1,0.779,0.536,0,0.536,0,0,0,0,0,0.0345
1,0.614,0.0879,0.281,0.116,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0.383,0.0345
1,0.621,0.0355,0.281,0.151,0,0,0,0,0.65,0
1,0.719,0.074,0.14,0.316,0,0,0,0,0,0.159
0.667,0.647,0.0527,0.281,0.192,0,0,0,0,0,0.214
0.333,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
0.333,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0.129
0.333,0.647,0.0724,0.281,0.186,0,0,0,0,0.133,0.135
0.667,0.732,0.136,0.14,0.313,0,0,0,0,0.117,0.396
0.667,0.732,0.153,0.14,0.311,0,0,0,0,0,0
0.667,0.732,0.162,0.14,0.315,0,0,0,0,0,0.0345
1,0.857,0.263,0,0.49,0,0,0,0,0,0.207
1,0.915,0.327,0,0.602,0.111,0.133,0,0,0,0.276
0.667,0.836,0.273,0.14,0.548,0.405,0.4,0,0,0.383,0.0345
1,0.993,0.541,0,0.979,0,0,0,0,0.9,0.069
1,0.973,0.758,0,0.991,0,0,0,0,0,0.0345
1,0.934,0.936,0,0.823,0,0,0,0,0,0.069
1,0.857,0.887,0,0.621,0,0,0,0,0,0
1,0.706,0.363,0.14,0.374,0,0,0,0,0,0.105
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.608,0.02,0.281,0.0513,0,0,0,0,0,0.172
1,0.608,0.026,0.281,0.0833,0,0,0,0,0,0
1,0.74,0.0747,0,0.355,0,0,0,0,0.767,0.194
0.667,0.719,0.074,0.14,0.316,0,0,0,0,0,0.0679
0.667,0.732,0.0895,0.14,0.334,0,0,0,0,0,0.173
0.667,0.647,0.0604,0.281,0.196,0,0,0,0,0,0.396
0.667,0.732,0.117,0.14,0.334,0,0,0,0,0,0.418
0.667,0.732,0.129,0.14,0.322,0,0,0,0,0,0.206
0.667,0.732,0.136,0.14,0.313,0,0,0,0,0,0.379
0.333,0.647,0.0845,0.281,0.18,0,0,0,0,0,0.312
0.667,0.732,0.162,0.14,0.315,0,0,0,0,0.517,0.0345
0.333,0.66,0.0982,0.281,0.196,0.646,0.533,0,0,0,0.069
0.667,0.797,0.224,0.14,0.418,0.686,0,0,0,0,0.0345
0.667,0.836,0.273,0.14,0.548,0.52,0,0,0,0,0.0345
0.333,0.705,0.191,0.281,0.359,0.807,0,0,0,0,0
0.333,0.699,0.263,0.281,0.363,0.694,0,0,0,0,0.103
0.667,0.81,0.629,0.14,0.565,0.125,0,0,0,0,0.069
1,0.857,0.887,0,0.621,0,0,0,0,0,0.0549
1,0.634,0.189,0.281,0.212,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.608,0.026,0.281,0.0833,0,0,0,0,0,0
1,0.68,0.0551,0.14,0.253,0,0,0,0,0,0.207
0.667,0.64,0.0449,0.281,0.183,0,0,0,0,0,0.172
0.667,0.647,0.0527,0.281,0.192,0,0,0,0,0,0
0.667,0.647,0.0604,0.281,0.196,0,0,0,0,0,0
0.667,0.647,0.0664,0.281,0.192,0,0,0,0,0,0.138
0.667,0.732,0.129,0.14,0.322,0,0,0,0,0,0.069
0.667,0.732,0.136,0.14,0.313,0,0,0,0,0.383,0.103
0.667,0.732,0.153,0.14,0.311,0,0,0,0,0.133,0.103
0.667,0.732,0.162,0.14,0.315,0,0,0,0,0,0.069
0.667,0.758,0.181,0.14,0.343,0,0,0,0,0,0
0.667,0.797,0.224,0.14,0.418,0,0,0,0,0,0.138
0.333,0.699,0.145,0.281,0.299,0,0,0,0,0,0.069
0.667,0.849,0.366,0.14,0.669,0,0,0,0,0,0.069
0.667,0.836,0.51,0.14,0.677,0,0,0,0,0,0.103
1,0.934,0.936,0,0.823,0,0,0,0,0,0.108
1,0.857,0.887,0,0.621,0,0,0,0,0.25,0
1,0.706,0.363,0.14,0.374,0,0,0,0,0,0.263
1,0.667,0.16,0.14,0.183,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.608,0.0166,0.281,0.0495,0,0,0,0,0,0.138
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.621,0.0355,0.281,0.151,0,0,0,0,0,0.272
1,0.719,0.074,0.14,0.316,0,0,0,0,0.25,0.134
0.667,0.732,0.0895,0.14,0.334,0,0,0,0,0,0.163
0.667,0.732,0.105,0.14,0.343,0,0,0,0,0,0.131
0.333,0.647,0.0664,0.281,0.192,0,0,0,0,0,0.0345
0.333,0.647,0.0724,0.281,0.186,0,0,0,0,0,0.0345
0.667,0.732,0.136,0.14,0.313,0,0,0,0,0,0.103
0.667,0.732,0.153,0.14,0.311,0,0,0,0,0,0
0.667,0.732,0.162,0.14,0.315,0,0,0.249,0.383,0,0.069
0.667,0.758,0.181,0.14,0.343,0,0,0.497,0.1,0,0.0345
0.667,0.797,0.224,0.14,0.418,0,0,0.762,0,0,0
0.667,0.836,0.273,0.14,0.548,0,0,0.221,0,0.383,0.414
0.667,0.849,0.366,0.14,0.669,0,0,0.0448,0,1,0.069
0.667,0.836,0.51,0.14,0.677,0,0,0,0,0.683,0
0.667,0.81,0.629,0.14,0.565,0,0,0,0,0,0
0.667,0.758,0.596,0.14,0.43,0,0,0,0,0,0.103
0.667,0.706,0.363,0.14,0.374,0,0,0,0,0,0
1,0.667,0.16,0.14,0.183,0,0,0,0,0,0
1,0.654,0.0816,0.14,0.099,0,0,0,0,0,0
1,0.608,0.031,0.281,0.0578,0,0,0,0,0,0
1,0.608,0.0224,0.281,0.0495,0,0,0,0,0,0
1,0.562,0.0181,0.421,0.0495,0,0,0,0,0,0
1,0.608,0.0215,0.281,0.0513,0,0,0,0,0,0.103
1,0.608,0.0241,0.281,0.0833,0,0,0,0,0,0.0379
1,0.621,0.0327,0.281,0.151,0,0,0.639,0.483,0,0.0253
0.667,0.64,0.049,0.281,0.183,0,0,0.246,0,0,0.172
0.667,0.647,0.0731,0.281,0.192,0,0,0.378,0,0,0
0,0.562,0.0181,0.421,0.0495,0,0,0,0,0,0
0.333,0.647,0.108,0.281,0.192,0,0,0,0,0,0.0345
0.333,0.647,0.118,0.281,0.186,0,0,0,0,0,0.0345
0.333,0.647,0.125,0.281,0.181,0,0,0,0,0.25,0.207
0.333,0.647,0.146,0.281,0.18,0,0,0,0,0,0
0.333,0.647,0.165,0.281,0.182,0,0,0,0,0,0.276
0.333,0.66,0.18,0.281,0.196,0,0,0,0,0,0.103
0.333,0.679,0.189,0.281,0.234,0,0,0,0,0,0
0.667,0.836,0.372,0.14,0.548,0.183,0.55,0,0,0,0.414
0.333,0.705,0.228,0.281,0.359,0,0.25,0,0,0,0
1,0.973,0.851,0,0.991,0.483,0.533,0,0,0,0
1,0.81,0.673,0.14,0.565,0.505,0,0,0,0,0.183
1,0.758,0.621,0.14,0.43,0,0,0,0,0,0.419
1,0.706,0.394,0.14,0.374,0,0,0,0,0,0
1,0.614,0.101,0.281,0.116,0,0,0,0,0,0
1,0.608,0.0499,0.281,0.0743,0,0,0,0,0,0
1,0.562,0.0181,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0181,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0181,0.421,0.0495,0,0,0,0,0.05,0
1,0.608,0.0215,0.281,0.0513,0,0,0,0,0.983,0.172
1,0.562,0.0181,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0181,0.421,0.0495,0,0,0,0,0,0.148
1,0.64,0.049,0.281,0.183,0,0,0,0,0,0.266
1,0.732,0.128,0.14,0.334,0.493,0.533,0,0,0,0.526
0.667,0.732,0.168,0.14,0.343,0.62,0,0,0,0,0.359
0.667,0.732,0.198,0.14,0.334,0.59,0,0,0,0,0.121
0.333,0.647,0.118,0.281,0.186,0.752,0,0.178,0.05,0.767,0.069
0.667,0.732,0.233,0.14,0.313,0.186,0,0.358,0.667,0,0.103
0.333,0.647,0.146,0.281,0.18,0,0,0.366,0,0,0.386
0.333,0.647,0.165,0.281,0.182,0,0,0,0,0,0.138
0.667,0.758,0.343,0.14,0.343,0,0,0,0,0,0.069
0.333,0.679,0.189,0.281,0.234,0,0,0,0,0,0.069
0.667,0.836,0.372,0.14,0.548,0,0,0,0,0,0
0.333,0.705,0.228,0.281,0.359,0,0,0,0,0,0.172
0.667,0.836,0.573,0.14,0.677,0,0,0,0,0,0.0345
0.667,0.81,0.673,0.14,0.565,0,0,0,0,0,0
1,0.857,0.923,0,0.621,0,0,0,0,0,0.0797
1,0.634,0.206,0.281,0.212,0,0,0,0,0,0.0368
1,0.614,0.101,0.281,0.116,0,0,0,0,0,0.172
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0.103
1,0.798,0.103,0,0.449,0,0,0,0,0.517,0.185
1,0.818,0.126,0,0.477,0,0,0,0,0,0.138
1,0.818,0.149,0,0.49,0,0,0,0,0,0.207
0.667,0.732,0.117,0.14,0.334,0,0,0,0,0,0.657
0.667,0.732,0.129,0.14,0.322,0,0,0,0,0.383,0.103
0.667,0.732,0.136,0.14,0.313,0,0,0,0,1,0.069
0.667,0.732,0.153,0.14,0.311,0,0,0,0,0.167,0.0345
0.667,0.647,0.0888,0.281,0.182,0,0,0,0,0,0
0.667,0.66,0.0982,0.281,0.196,0,0,0,0,0,0.069
0.667,0.679,0.12,0.281,0.234,0,0,0,0,0,0.0345
0.333,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
0.333,0.705,0.191,0.281,0.359,0,0,0,0,0,0.103
0.333,0.699,0.263,0.281,0.363,0,0,0,0,0,0.199
0.667,0.81,0.629,0.14,0.565,0,0,0,0,0,0.164
0.667,0.758,0.596,0.14,0.43,0,0,0,0,0.517,0
1,0.634,0.189,0.281,0.212,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.608,0.02,0.281,0.0513,0,0,0,0,0,0.104
0.667,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
0.667,0.621,0.0355,0.281,0.151,0,0,0,0,0,0.0532
0.667,0.64,0.0449,0.281,0.183,0,0,0,0,0,0.136
0.667,0.647,0.0527,0.281,0.192,0,0,0,0,0,0.0345
0.667,0.647,0.0604,0.281,0.196,0,0,0,0,0.383,0.172
0.667,0.732,0.117,0.14,0.334,0,0,0,0,0.383,0.432
0.667,0.732,0.129,0.14,0.322,0,0,0,0,0,0.0931
0.667,0.732,0.136,0.14,0.313,0,0,0,0,0.133,0.0345
0.667,0.732,0.153,0.14,0.311,0,0,0,0,1,0.103
1,0.818,0.235,0,0.448,0,0,0,0,0.15,0.069
1,0.857,0.263,0,0.49,0,0,0,0,0,0.103
1,0.915,0.327,0,0.602,0.153,0.133,0,0,0.133,0.31
1,0.973,0.402,0,0.798,0.498,0.4,0,0,0.117,0.138
0.667,0.849,0.366,0.14,0.669,0,0,0,0,0,0
0.667,0.836,0.51,0.14,0.677,0,0,0,0,0,0.178
1,0.934,0.936,0,0.823,0,0,0,0,0,0.103
1,0.857,0.887,0,0.621,0,0,0,0,0,0
1,0.706,0.363,0.14,0.374,0,0,0,0,0,0
1,0.614,0.0879,0.281,0.116,0,0,0,0,0,0
1,0.608,0.0424,0.281,0.0743,0,0,0,0,0,0
1,0.608,0.026,0.281,0.0578,0,0,0,0,0,0.069
1,0.608,0.0183,0.281,0.0495,0,0,0,0,0,0.138
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0.199
0.667,0.64,0.0449,0.281,0.183,0,0,0,0,0,0.246
0.667,0.647,0.0527,0.281,0.192,0,0,0,0,0,0.0345
0.667,0.647,0.0604,0.281,0.196,0,0,0.436,0.483,0,0
0.667,0.647,0.0664,0.281,0.192,0,0,0.422,0,0,0
0.667,0.647,0.0724,0.281,0.186,0,0,0.512,0,0,0
1,0.732,0.136,0.14,0.313,0,0,0.569,0,0,0.213
0.667,0.647,0.0845,0.281,0.18,0,0,0.547,0,0,0.276
0.667,0.647,0.0888,0.281,0.182,0,0,0.516,0,0,0
0.667,0.66,0.0982,0.281,0.196,0,0,0.552,0,0,0.138
0.667,0.679,0.12,0.281,0.234,0,0,0.551,0,0,0.276
0.667,0.836,0.273,0.14,0.548,0,0,0.576,0,0.25,0.0345
0.333,0.705,0.191,0.281,0.359,0,0,0.169,0,0.633,0.138
0.333,0.699,0.263,0.281,0.363,0,0,0,0,0.133,0
0.667,0.81,0.629,0.14,0.565,0,0,0,0,0,0
1,0.857,0.887,0,0.621,0,0,0.594,0.483,0,0
1,0.779,0.536,0,0.536,0,0,0.607,0,0,0.237
1,0.72,0.232,0,0.249,0,0,0.436,0,0,0.271
1,0.608,0.0424,0.281,0.0743,0,0,0,0,0,0.0942
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
